feature,importance
country_code_391,0.4035123095467304
previous_on_time_payment_rate,0.34689926723263026
previous_average_days_late,0.2466666894558691
amount_due,0.21913337031740107
previous_invoice_count,0.20205774541988605
previous_max_days_late,0.1840051862815624
previous_crm_negative_signal_score,0.1676817969927861
country_code_818,0.1631696999578154
previous_late_payments,0.1473251394548357
country_code_897,0.12546702533707463
previous_total_amount,0.11011078966238276
relationship_age_days,0.09068848275765722
country_code_406,0.08964017551628349
previous_average_invoice_amount,0.08703148083434935
previous_disputed_count,0.06526937355941449
previous_dispute_rate,0.05883092115953099
country_code_770,0.030818056772085115
paperless_bill,0.0
payment_terms_days,0.0
