tenant_id,historical_invoice_id,invoice_number,finplex_customer_id,settled_date,days_to_settle,days_late,is_disputed
tenant_demo,hist_inv_00991,4037644863,cust_0187-ERLSR,2012-04-25,27,0,1
tenant_demo,hist_inv_02345,9471530987,cust_0187-ERLSR,2012-05-28,13,0,0
tenant_demo,hist_inv_02401,9744145268,cust_0187-ERLSR,2012-06-04,14,0,0
tenant_demo,hist_inv_01791,7214076449,cust_0187-ERLSR,2012-07-04,18,0,1
tenant_demo,hist_inv_00445,1756742390,cust_0187-ERLSR,2012-09-14,9,0,0
tenant_demo,hist_inv_01001,4063317759,cust_0187-ERLSR,2012-10-11,19,0,1
tenant_demo,hist_inv_01220,4910161169,cust_0187-ERLSR,2012-12-19,13,0,0
tenant_demo,hist_inv_01030,4160638076,cust_0187-ERLSR,2013-03-02,14,0,1
tenant_demo,hist_inv_01478,5995302563,cust_0187-ERLSR,2013-03-11,7,0,0
tenant_demo,hist_inv_02069,8350497297,cust_0187-ERLSR,2013-04-04,19,0,1
tenant_demo,hist_inv_01189,4814212537,cust_0187-ERLSR,2013-03-27,5,0,0
tenant_demo,hist_inv_01484,6018471272,cust_0187-ERLSR,2013-05-15,8,0,0
tenant_demo,hist_inv_01650,6637423646,cust_0187-ERLSR,2013-06-02,8,0,0
tenant_demo,hist_inv_01300,5219455796,cust_0187-ERLSR,2013-10-20,3,0,0
tenant_demo,hist_inv_01413,5759027335,cust_0187-ERLSR,2013-11-24,13,0,1
tenant_demo,hist_inv_01560,6279951505,cust_0187-ERLSR,2013-12-12,17,0,1
tenant_demo,hist_inv_00726,2998565198,cust_0379-NEVHP,2012-02-28,16,0,0
tenant_demo,hist_inv_00934,3819986935,cust_0379-NEVHP,2012-04-17,47,17,1
tenant_demo,hist_inv_02418,9814992757,cust_0379-NEVHP,2012-04-08,19,0,0
tenant_demo,hist_inv_01265,5051186703,cust_0379-NEVHP,2012-07-17,16,0,0
tenant_demo,hist_inv_00226,869802822,cust_0379-NEVHP,2012-09-23,22,0,0
tenant_demo,hist_inv_01523,6164052759,cust_0379-NEVHP,2012-09-28,18,0,0
tenant_demo,hist_inv_00842,3399547582,cust_0379-NEVHP,2012-11-06,13,0,0
tenant_demo,hist_inv_00076,281287578,cust_0379-NEVHP,2012-11-19,22,0,0
tenant_demo,hist_inv_02253,9091156209,cust_0379-NEVHP,2012-12-19,16,0,0
tenant_demo,hist_inv_00000,611365,cust_0379-NEVHP,2013-01-15,13,0,0
tenant_demo,hist_inv_00350,1369975903,cust_0379-NEVHP,2013-01-26,21,0,0
