amount_due,payment_terms_days,paperless_bill,country_code,previous_invoice_count,previous_late_payments,previous_disputed_count,previous_total_amount,previous_average_invoice_amount,previous_average_days_late,previous_max_days_late,previous_on_time_payment_rate,previous_dispute_rate,previous_crm_negative_signal_score,relationship_age_days,risk_label
77.19,30,0,391,1,0,1,62.68000000000001,62.68000000000001,0.0,0.0,1.0,1.0,1.0,47,low
51.65,30,0,391,2,0,1,139.87,69.935,0.0,0.0,1.0,0.5,0.5,53,low
64.47,30,0,391,3,0,1,191.52,63.84,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,79,low
84.57,30,0,391,4,0,2,255.99,63.9975,0.0,0.0,1.0,0.5,0.5,160,low
65.26,30,0,391,5,0,2,340.56,68.112,0.0,0.0,1.0,0.4,0.4,177,low
59.0,30,0,391,6,0,3,405.82,67.63666666666667,0.0,0.0,1.0,0.5,0.5,252,low
56.5,30,0,391,7,0,3,464.82000000000005,66.40285714285714,0.0,0.0,1.0,0.42857142857142855,0.42857142857142855,324,low
31.72,30,0,391,8,0,4,521.3199999999999,65.16499999999999,0.0,0.0,1.0,0.5,0.5,340,low
73.27,30,0,391,9,0,4,553.04,61.44888888888889,0.0,0.0,1.0,0.4444444444444444,0.4444444444444444,352,low
86.92,30,0,391,10,0,5,626.3100000000001,62.63100000000001,0.0,0.0,1.0,0.5,0.5,358,low
79.87,30,0,391,11,0,5,713.23,64.83909090909091,0.0,0.0,1.0,0.45454545454545453,0.45454545454545453,404,low
53.59,30,0,391,12,0,5,793.1,66.09166666666667,0.0,0.0,1.0,0.4166666666666667,0.4166666666666667,422,low
77.19,30,0,391,13,0,5,846.69,65.13000000000001,0.0,0.0,1.0,0.38461538461538464,0.38461538461538464,567,low
83.18,30,0,391,14,0,5,923.8800000000001,65.99142857142859,0.0,0.0,1.0,0.35714285714285715,0.35714285714285715,592,low
65.57,30,0,391,15,0,6,1007.0600000000002,67.13733333333334,0.0,0.0,1.0,0.4,0.4,606,low
48.65,30,0,391,1,0,0,28.21,28.21,0.0,0.0,1.0,0.0,0.0,18,high
103.64,30,0,391,2,1,1,76.86,38.43,8.5,17.0,0.5,0.5,1.0,37,low
42.25,30,0,391,3,1,1,180.5,60.166666666666664,5.666666666666667,17.0,0.6666666666666667,0.3333333333333333,0.6666666666666666,140,low
69.55,30,0,391,4,1,1,222.75,55.6875,4.25,17.0,0.75,0.25,0.5,202,low
72.97,30,0,391,5,1,1,292.29999999999995,58.459999999999994,3.4,17.0,0.8,0.2,0.4,211,low
50.7,30,0,391,6,1,1,365.27000000000004,60.87833333333334,2.8333333333333335,17.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,255,low
76.81,30,0,391,7,1,1,415.96999999999997,59.42428571428571,2.4285714285714284,17.0,0.8571428571428572,0.14285714285714285,0.2857142857142857,259,low
52.47,30,0,391,8,1,1,492.78,61.5975,2.125,17.0,0.875,0.125,0.25,295,low
55.94,30,0,391,9,1,1,545.25,60.583333333333336,1.8888888888888888,17.0,0.8888888888888888,0.1111111111111111,0.2222222222222222,325,low
61.11,30,0,391,10,1,1,601.1899999999999,60.11899999999999,1.7,17.0,0.9,0.1,0.2,328,low
34.41,30,0,391,11,1,1,662.3000000000001,60.20909090909092,1.5454545454545454,17.0,0.9090909090909091,0.09090909090909091,0.18181818181818182,332,low
33.23,30,0,391,12,1,1,696.7099999999999,58.05916666666666,1.4166666666666667,17.0,0.9166666666666666,0.08333333333333333,0.16666666666666666,348,low
55.21,30,0,391,13,1,1,729.9399999999999,56.14923076923076,1.3076923076923077,17.0,0.9230769230769231,0.07692307692307693,0.15384615384615385,368,low
79.25,30,0,391,14,1,1,785.15,56.082142857142856,1.2142857142857142,17.0,0.9285714285714286,0.07142857142857142,0.14285714285714285,371,low
74.34,30,0,391,15,1,1,864.4,57.626666666666665,1.1333333333333333,17.0,0.9333333333333333,0.06666666666666667,0.13333333333333333,416,low
78.57,30,0,391,16,1,1,938.74,58.67125,1.0625,17.0,0.9375,0.0625,0.125,460,low
